question,answer,intent
Best approach to study a rare disease is:,Case control study,general_faq
A 22 years old man presents with a solitary 2 cm space occupying lesion of mixed echogenecity in the right lobe of the liver on USG. The rest of the liver is normal. Which of the following test should be done next?,Ultrasound guided biopsy of the lesion,general_faq
Polyariticular rheumatoid ahritis is diagnosed when more than............. Joints are involved,One,symptoms_diagnosis
Measles is infective for:,One day before and 4 days after rash,general_faq
Which cyclooxygenase plays a role in maintaining GI mucosal integrity?,Cyclooxygenase 1,general_faq
Skin surface elevation caused by hyperplasia and projections of the epidermis form an undulating surface under microscopic examination. What is this known as?,Saw toothing,general_faq
"An 85-year old male cigar smoker with no notable medical history presented with black discoloration and hairy appearance ofthe tongue, which had lasted several years. He said he did not use bismuth- containing compounds. This condition could be treated with all of the following except -",Topical antibiotics,nutrition_advice
Which of the following is the main enzyme responsible for activation of xenobiotics?,Cytochrome P-450,general_faq
Hypothyroidism is caused by which of the following anti-tubercular drug -,PAS,medicine_info
Site of b-oxidation is ?,Cytosol,general_faq
IPPV can cause -,Barotrauma,general_faq
Drug treatment for laryngeal stenosis is,Adriamycin,medicine_info
Beta 2 selective agonist are often effective in,Angina due to cornary insufficiency,general_faq
Atonic post paum hemorrhage occurs in all except :,Multiple pregnancy,general_faq
"In cotrimoxazole, sulphamethoxazole and trimethoprim are in ratio of:",2:01,general_faq
Some mRNA has self-splicing activity. The removal of introns is/are done by,Occur in intron that from Ribozyme,general_faq
"In trauma, which of the following is increased -",Epinephrine,general_faq
Which of following anatomical information may assist you during post-partum tubal sterilization.,Fallopian tube lies anterior to round ligament.,general_faq
The type of enzyme inhibition in which succinate dehydrogenase reaction is inhibited by malonate is an example of:,Noncompetitive,general_faq
Trident hand is seen in –,Achondroplasia,general_faq
All are first generation cephalosporins except :,Cefadroxil,general_faq
Which is the most common location of carcinoid tumor ?,Bronchus,general_faq
Libmansach's endocaritis is associated with?,Rheumatic heart disease,general_faq
Type D personality has been recently found to be a risk factor for:,Coronary artery disease,general_faq
The structural proteins are involved in maintaining the shape of a cell or in the formation of matrices in the body. The shape of these protein is:,Globular,general_faq
Optic atrophy can be caused by....poisoning :,Phosphrous,general_faq
"Botulinum affects all of the following, EXCEPT:",Neuromuscular junction,general_faq
Dose of rifampicin in RNTCP is -,600 mg,medicine_info
"In which of the following state, a person is mute and akinetic, but can be awakened and even be ale?",Stupor,general_faq
Which bacteria has Ampitrichous flagella,V cholerae,general_faq
Iodine RDA is -,300 microgram,general_faq
Glomular filtration rate increases if: September 2005,Increased plasma oncotic pressure,general_faq
A neonate delivered at 38 weeks of gestation with a bih weight of 2.2 kg develops intolerance to feed /abdominal distension on second day. Physical examination is unremarkable. Sepsis screen is negative. PCV is observed to be 72%. Which of the following represents the best management option?,Hydration with IV Fluids,general_faq
Corneal thickness is measured using -,Pachymetry,general_faq
"After mandibulectomy, muscle preventing falling back of tongue -",Genioglossus,general_faq
A country has crude birth rate 25 per 1000 and crude death rate 10 per 1000. What is the growth rate of that country -,2.50%,nutrition_advice
Warfarin induced skin necrosis is seen in ?,Protein C deficiency,general_faq
Monozygotic twins do not have same-,Fingerprints,general_faq
"All are hypercoagulable states, except :",Protein C resistance,general_faq
Most common neonatal disorder screened is:,Neonatal hypothyroidism,general_faq
The fluidity of the plasma membrane is increased by,Arachidonic acid,general_faq
Which of the following drugs is contraindicated along with spironolactone,Chlorothiazide,medicine_info
Apical lung tumor causes,C/L horner syndrome,general_faq
A 30-year-old athlete complains of amenorrhea for 1 year. Her BMI is 20 kg/m2. LH and FSH are in low normal range. Clinical and USG findings are normal. Most likely cause is:,Depression,general_faq
Anaerobic bacteria commonly found in cervix or vagina?,Lactobacilli,general_faq
Gradient in pulmonary artery wedge pressure and left venticular end diastolic pressure is seen in,Aortic regurgitation,general_faq
Not a complication of gallstone,Mucocele,general_faq
Neo-adjuvant chemotherapy used esophageal carcinoma,Doxorubicin,treatment_procedure
A young male was found to be HBsAg positivity and HBe Ag negative. His liver enzymes were normal. The next step in management of this young male should be:,Lamivudine therapy,general_faq
Embryologically hard palate develop from:,Maxillary process,general_faq
All of the following may be present in Duane&;s retraction syndrome except,Suppression,general_faq
